system:index,name,.geo
0,SECTOR_1_WEST_NORTH,"{""type"":""Polygon"",""coordinates"":[[[37.99901674815621,36.810797542986656],[38.0539483887812,36.66112201985523],[38.18578432628121,36.639086308410604],[38.2297296387812,36.50232423206146],[38.1418390137812,36.32107372203416],[38.0594415528437,36.22364312394783],[38.0154962403437,36.121653938543105],[38.0209894044062,35.97508994663421],[38.1912774903437,35.89948084993445],[38.37804506846871,35.77033381033226],[38.614251123156194,35.81043642071136],[38.8174981934687,35.890580908023814],[38.9822931153437,35.89503100404781],[39.092156396593694,36.099464816657395],[39.0427179200312,36.25908649882831],[39.1031427247187,36.409541436481376],[39.0317315919062,36.594995972731155],[38.9548272950312,36.69636604065666],[38.6527032715937,36.740398355279154],[38.5483331544062,36.79760262035257],[38.4110040528437,36.85476419513358],[38.2846612794062,36.88552581349434],[38.0814142090937,36.85915947039259],[37.99901674815621,36.810797542986656]]]}"
1,SECTOR_2_MID,"{""type"":""Polygon"",""coordinates"":[[[38.9767999512812,36.700770407844004],[39.1141290528437,36.409541436481376],[39.04821108409371,36.232505474302165],[39.0866632325312,36.09502624007577],[39.0152520997187,35.926174671654465],[39.0152520997187,35.87277802281002],[39.2624444825312,35.801526478437204],[39.6140069825312,35.73021096803524],[39.795281396593694,35.587388262226305],[40.0809259278437,35.3457964411091],[40.300652490343694,35.197800118211816],[40.3885431153437,35.10347995844117],[40.580803857531194,35.25164824460195],[40.6577081544062,35.524823047930596],[40.7620782715937,35.76587671567777],[40.8334894044062,35.926174671654465],[40.7291192872187,36.05062668750593],[40.7016534669062,36.28565848149215],[40.7510919434687,36.524399009338396],[40.756585107531194,36.6302702584212],[41.0751886231562,36.7051745226788],[41.1905450684687,36.96018101547604],[41.2235040528437,37.056685074891874],[41.17955874034371,37.09174707422297],[40.9049005372187,37.13555177072544],[40.58629702159371,37.07860072433878],[40.35009096690621,36.968959174035696],[40.00951479503121,36.81519534526736],[39.6524591309687,36.72278845826129],[39.22948549815621,36.65671538201619],[38.9767999512812,36.700770407844004]]]}"
2,SECTOR_3_EAST_NORTH,"{""type"":""Polygon"",""coordinates"":[[[41.218010888781194,37.05668507489187],[41.0751886231562,36.70957838514949],[40.7785577637812,36.62145319976507],[40.74559877940621,36.444900351274846],[40.712639795031194,36.25908649882831],[40.734612451281194,36.06838951620272],[41.2344903809687,36.059508603065694],[41.2839288575312,36.34762459677745],[41.3937921387812,36.53322715713936],[41.8112726075312,36.5994061408212],[42.10241030284371,36.850368667121266],[42.3386163575312,37.05668507489187],[42.3221368653437,37.214336343930576],[42.2122735840937,37.28866853354337],[41.99804018565621,37.16182242300345],[41.7892999512812,37.122413022660744],[41.218010888781194,37.05668507489187]]]}"
3,SECTOR_4_EAST_SOUTH,"{""type"":""Polygon"",""coordinates"":[[[40.82524965831245,35.93729443887079],[40.70440004893745,35.60748813684379],[40.60002993174995,35.249405286154754],[40.40227602549995,35.09673862154805],[40.56157778331245,34.88522793871214],[40.77031801768745,34.70930465550543],[40.99004458018746,34.41979791965409],[41.20977114268746,34.78152371846864],[41.19329165049995,35.24043283183438],[41.26470278331245,35.495758317341185],[41.38005922862495,35.64767273997236],[41.36907290049995,35.848292522642154],[41.24822329112496,36.052847260367514],[40.73186586924995,36.07948924781435],[40.82524965831245,35.93729443887079]]]}"
4,SYRIA_EAST_AOI,"{""type"":""Polygon"",""coordinates"":[[[38.025615551538884,36.65853389317607],[38.19041047078389,36.60122600553062],[38.179424142613286,36.40252373594039],[38.0256155510303,36.2254718192709],[38.02561555076675,35.99914812503238],[38.36619171722858,35.75880132965164],[38.44118308860417,35.78147425441751],[38.9685268307122,35.88835456619537],[39.60024068828172,35.732439345235754],[40.36928364553355,35.10123170784113],[40.973531683830984,34.424328007930356],[41.14931293115486,34.69575535357741],[41.18227191488055,34.98880025269803],[41.22621722649108,35.38835009603077],[41.35805316183173,35.67445005222859],[41.22072406218484,35.91505214049425],[41.242696717980046,36.106121011411105],[41.25917620975772,36.34983556116253],[41.36903948917239,36.54867279115393],[41.80849260730376,36.597199888561754],[42.346822676457634,37.06764249182661],[42.330343184334495,37.22089681676826],[42.19301408488723,37.27774072937299],[41.84694475461865,37.12460177270797],[41.22621722543843,37.05887572476031],[40.93507953470793,37.107080400351265],[40.71535297569432,37.09393671067208],[40.33083149743031,36.93603466085394],[39.86940572342372,36.76020346091492],[39.2651576859577,36.66332404405635],[38.74330710818686,36.702971296890134],[38.52358054925974,36.86135581343818],[38.232442858574295,36.91407788084749],[38.02919579135413,36.82618754612862],[38.025615551538884,36.65853389317607]]]}"
5,SECTOR_1_SUB_1_NORTH_WEST,"{""type"":""Polygon"",""coordinates"":[[[38.283093879756414,36.8854162403169],[38.08396668249078,36.86014864028449],[37.99332947545953,36.807389340426916],[38.06199402624078,36.66211374709115],[38.18559021764703,36.63346646168009],[38.22404236608453,36.507733403840966],[38.45612854772516,36.49007028301585],[38.52753968053766,36.61362748409956],[38.48359436803766,36.69295275089962],[38.48359436803766,36.780996047208404],[38.390210578975164,36.85135795078351],[38.283093879756414,36.8854162403169]]]}"
6,SECTOR_1_SUB_2_NORTH_EAST,"{""type"":""Polygon"",""coordinates"":[[[38.28858704381891,36.88321938951668],[38.38746399694391,36.85245684226084],[38.48222107702203,36.77989612932629],[38.48084778600641,36.69625619660933],[38.52753968053766,36.612525168970805],[38.45475525670953,36.48786210963058],[38.62778992467829,36.393956573511865],[38.85850281530328,36.37184464216759],[39.08646912389703,36.36410398086191],[39.09882874303766,36.403904891144954],[39.03428406530328,36.59488598401811],[38.95600647741266,36.69295275089962],[38.648389289912664,36.7402885741777],[38.508313606318914,36.81838386187428],[38.40394348913141,36.85465457782521],[38.28858704381891,36.88321938951668]]]}"
7,SECTOR_1_SUB_3_MID_WEST,"{""type"":""Polygon"",""coordinates"":[[[38.14370484167047,36.32504652150378],[38.565305183467345,36.105667964820526],[38.63259644323297,36.39361427212446],[38.45406861120172,36.49193652554266],[38.22747559362359,36.5073916041596],[38.14370484167047,36.32504652150378]]]}"
8,SECTOR_1_SUB_4_MID_EAST,"{""type"":""Polygon"",""coordinates"":[[[38.63259644323297,36.39361427212446],[38.565305183467345,36.10899646989771],[39.05968994909234,36.04350998728652],[39.09402222448297,36.09790090449872],[39.03771729284235,36.25863313835873],[39.08303589635796,36.363761548061134],[38.63259644323297,36.39361427212446]]]}"
9,SECTOR_1_SUB_5_SOUTH_WEST,"{""type"":""Polygon"",""coordinates"":[[[38.14370484167047,36.32394009508686],[38.057187507686095,36.22318955786298],[38.01736206823297,36.123418361988925],[38.018735359248595,35.97685765824247],[38.40051026159234,35.773220306076965],[38.557065437373595,36.10455843178594],[38.14370484167047,36.32394009508686]]]}"
10,SECTOR_1_SUB_6_SOUTH_EAST,"{""type"":""Polygon"",""coordinates"":[[[38.40463013463922,35.775448678852584],[38.6119970779986,35.80998047034557],[38.81661743932673,35.892350510335895],[38.98415894323297,35.895688031205395],[39.056943367061095,36.042399576988764],[38.5625586014361,36.10455843178595],[38.40463013463922,35.775448678852584]]]}"
11,SECTOR_2_SUB_1_NORTH_WEST,"{""type"":""Polygon"",""coordinates"":[[[38.9774358077502,36.70089533987118],[39.11201832728145,36.40856161646237],[39.3015324874377,36.409666840234124],[39.7135197921252,36.493617826392246],[39.6036565108752,36.705299447547496],[39.2575871749377,36.65684038561016],[38.9774358077502,36.70089533987118]]]}"
12,SECTOR_2_SUB_2_NORTH_MID,"{""type"":""Polygon"",""coordinates"":[[[39.60640309290645,36.701996390448805],[39.70939991907832,36.49472183891162],[40.38093922571895,36.65353524706615],[40.376760824138415,36.97446544722615],[40.11446224015404,36.86357496071269],[39.7271941737478,36.743720261189615],[39.60640309290645,36.701996390448805]]]}"
13,SECTOR_2_SUB_3_NORTH_EAST,"{""type"":""Polygon"",""coordinates"":[[[40.37898673175748,36.97446544722616],[40.37898673175748,36.65343076208343],[40.75252188800748,36.62918871168601],[41.079365149726236,36.708497952481366],[41.22768057941373,37.05780142343563],[41.00520743488248,37.125718320915496],[40.79372061847622,37.114768099953544],[40.59047354816373,37.08190793475659],[40.37898673175748,36.97446544722616]]]}"
14,SECTOR_2_SUB_4_MID_WEST,"{""type"":""Polygon"",""coordinates"":[[[39.79125864582157,36.07837200047617],[39.89425547199344,36.33655551156985],[39.70611460285281,36.49348525258225],[39.11010630207157,36.40511312588479],[39.041441751290314,36.23028265041041],[39.085387063790314,36.09501889695845],[39.79125864582157,36.07837200047617]]]}"
15,SECTOR_2_SUB_5_MID_MID,"{""type"":""Polygon"",""coordinates"":[[[39.71133182103257,36.49172076574859],[39.8939795261107,36.33810622621445],[39.790982699938816,36.08103772014749],[40.021415285576964,35.94933011770882],[40.4025035424129,36.17080852609915],[40.31323962639728,36.42592485289002],[40.088019899834784,36.5826740212888],[39.71133182103257,36.49172076574859]]]}"
16,SECTOR_2_SUB_6_MID_EAST,"{""type"":""Polygon"",""coordinates"":[[[40.32147937249103,36.42813479057645],[40.39563708733478,36.16914560180493],[40.02210193108478,35.94933011770882],[40.82959704827228,35.927092405554845],[40.71973376702228,36.06486531718046],[40.70874743889728,36.304281448378504],[40.75543933342852,36.626771400272084],[40.38465075920978,36.65101421125143],[40.09076648186603,36.58487948893122],[40.32147937249103,36.42813479057645]]]}"
17,SECTOR_2_SUB_7_SOUTH_WEST,"{""type"":""Polygon"",""coordinates"":[[[39.08481168576649,36.09264347502682],[39.01340055295398,35.923786797475856],[39.017520426000864,35.870388537263814],[39.61352872678212,35.730046834788276],[39.792056558813364,36.0759960754758],[39.08481168576649,36.09264347502682]]]}"
18,SECTOR_2_SUB_8_SOUTH_MID,"{""type"":""Polygon"",""coordinates"":[[[39.79197845687225,36.074495395955985],[39.61070404280976,35.73188399406669],[39.9814926170285,35.432563001818],[40.20396576155975,35.66496906068666],[40.23417816390351,35.93896310399432],[40.02269134749725,35.94785760381457],[39.79197845687225,36.074495395955985]]]}"
19,SECTOR_2_SUB_9_SOUTH_EAST,"{""type"":""Polygon"",""coordinates"":[[[40.202592470544126,35.6549269783513],[39.971879579919126,35.43591979798156],[40.40583954085662,35.1175234632652],[40.587113954919126,35.24772386877813],[40.82881317366912,35.924507406773245],[40.23143158187225,35.93229157218253],[40.202592470544126,35.6549269783513]]]}"
20,SECTOR_3_SUB_1_SOUTH,"{""type"":""Polygon"",""coordinates"":[[[40.763777547274586,36.62288414861655],[40.719832234774586,36.256094684131114],[40.74729805508709,36.069830664601106],[41.252669148837086,36.06094991415216],[41.285628133212086,36.34463617652506],[41.400984578524586,36.521417387746155],[41.08238106289958,36.70219988298132],[40.763777547274586,36.62288414861655]]]}"
21,SECTOR_3_SUB_2_MID,"{""type"":""Polygon"",""coordinates"":[[[41.41746407071209,36.521417387746155],[41.818465047274586,36.59642741254828],[41.961287312899586,36.71100769646548],[41.21971016446209,37.04495572107593],[41.093367391024586,36.71100769646548],[41.41746407071209,36.521417387746155]]]}"
22,SECTOR_3_SUB_3_NORTH,"{""type"":""Polygon"",""coordinates"":[[[41.966780476962086,36.72421752381722],[42.340315633212086,37.04495572107593],[42.32383614102459,37.228878737436375],[42.197493367587086,37.29445711559615],[41.98875313321209,37.16324327764052],[41.247175984774586,37.05810790344791],[41.966780476962086,36.72421752381722]]]}"
23,SECTOR_4_SUB_1_NORTH,"{""type"":""Polygon"",""coordinates"":[[[40.830783213466106,35.92490227275045],[40.69620069393485,35.559302322910895],[41.26199659237235,35.487770182390115],[41.38833936580985,35.62184062502599],[41.34988721737235,35.85814976095994],[41.24551710018485,36.06267900661873],[40.74563917049735,36.071559561888826],[40.830783213466106,35.92490227275045]]]}"
24,SECTOR_4_SUB_2_MID,"{""type"":""Polygon"",""coordinates"":[[[40.693454111903606,35.557067908714686],[40.594577158778606,35.245879030500966],[41.1988252056536,35.13140093137731],[41.19058545955985,35.230175901121214],[41.259250010341106,35.48329730702961],[40.693454111903606,35.557067908714686]]]}"
25,SECTOR_4_SUB_3_SOUTH,"{""type"":""Polygon"",""coordinates"":[[[40.39555901173991,35.09321898609585],[40.53964551815359,34.907612012277085],[40.753878916591106,34.729479306148164],[40.99283155330985,34.42191972118784],[41.2098115337786,34.78136109579675],[41.19745191463797,35.131400931377314],[40.59320386776297,35.24475747923019],[40.39555901173991,35.09321898609585]]]}"
